SQ_CANDIDATO;SG_UF;estrato_final;cluster_final_codigo;perfil_patrimonial_final
10001595335;AC;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
10001595336;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595338;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595339;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595340;AC;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
10001595342;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595343;AC;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
10001595344;AC;Patrimônio intermediário;intermediario_k10_c9;Patrimônio intermediário - rural agropecuário concentrado
10001595348;AC;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
10001595349;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595351;AC;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
10001595352;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595354;AC;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
10001595356;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595357;AC;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
10001595359;AC;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
10001595364;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001600522;AC;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
10001601425;AC;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
10001601426;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001601427;AC;Patrimônio intermediário;intermediario_k10_c8;Patrimônio intermediário - financeiro concentrado
10001601428;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001601429;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001601430;AC;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
10001601431;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001601432;AC;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
10001601434;AC;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
10001601437;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001601439;AC;Patrimônio intermediário;intermediario_k10_c1;Patrimônio intermediário - veicular concentrado
10001601440;AC;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
10001601441;AC;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001601442;AC;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
10001601443;AC;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
