SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;patrimonio_total;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;log_patrimonio_total;log_qtd_bens;SG_UF;log_valor_ativos_financeiros;log_valor_bens_luxo_colecao;log_valor_creditos_direitos;log_valor_dinheiro_especie;log_valor_direitos_intangiveis;log_valor_imoveis;log_valor_outros;log_valor_outros_atividade_profissional;log_valor_participacoes_societarias;log_valor_rural_agropecuario;log_valor_veiculos;estrato_base;subestrato_alto;estrato_final;cluster_final_codigo;perfil_patrimonial_final
10001595335;0;0;0;0;0;0;0;0;0;0;600000;600000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2;1;1.0;13.304686600863562;1.0986122886681096;AC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.304686600863562;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
10001595336;0;0;0;0;0;4000000;0;0;0;0;1139000;5139000;0.0;0.0;0.0;0.0;0.0;0.7783615489394824;0.0;0.0;0.0;0.0;0.2216384510605176;3;2;0.6549703038559758;15.452369260564735;1.3862943611198906;AC;0.0;0.0;0.0;0.0;0.0;15.201805169084134;0.0;0.0;0.0;0.0;13.94566212039206;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595338;0;0;0;0;0;3000000;0;0;0;0;120000;3120000;0.0;0.0;0.0;0.0;0.0;0.9615384615384616;0.0;0.0;0.0;0.0;0.0384615384615384;2;2;0.9260355029585798;14.953343880298434;1.0986122886681096;AC;0.0;0.0;0.0;0.0;0.0;14.914123179965662;0.0;0.0;0.0;0.0;11.695255355062795;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595339;0;0;0;0;0;2500000;0;0;0;0;1000000;3500000;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.2857142857142857;2;2;0.5918367346938775;15.068273812173889;1.0986122886681096;AC;0.0;0.0;0.0;0.0;0.0;14.731801689838349;0.0;0.0;0.0;0.0;13.815511557963774;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595340;0;0;0;0;0;0;0;0;0;0;320000;320000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2;1;1.0;12.676079399771028;1.0986122886681096;AC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.676079399771027;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado
10001595342;0;0;0;0;0;2000000;0;0;0;0;250000;2250000;0.0;0.0;0.0;0.0;0.0;0.8888888888888888;0.0;0.0;0.0;0.0;0.1111111111111111;3;2;0.8024691358024691;14.626441218624947;1.3862943611198906;AC;0.0;0.0;0.0;0.0;0.0;14.508658238524095;0.0;0.0;0.0;0.0;12.429220196836383;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
10001595343;0;0;0;0;0;1400000;0;0;0;0;0;1400000;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2;1;1.0;14.151983508870948;1.0986122886681096;AC;0.0;0.0;0.0;0.0;0.0;14.151983508870947;0.0;0.0;0.0;0.0;0.0;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
10001595344;0;0;0;0;0;0;0;0;0;9100000;150000;9250000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9837837837837838;0.0162162162162162;3;2;0.9680934989043096;16.04013421759671;1.3862943611198906;AC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.02378508137718;11.918397239722838;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c9;Patrimônio intermediário - rural agropecuário concentrado
10001595348;0;0;0;0;0;1500000;0;0;0;0;0;1500000;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;14.220976332738882;0.6931471805599453;AC;0.0;0.0;0.0;0.0;0.0;14.220976332738882;0.0;0.0;0.0;0.0;0.0;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
10001595349;0;0;0;0;0;1500000;0;0;0;0;750000;2250000;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.3333333333333333;3;2;0.5555555555555556;14.626441218624947;1.3862943611198906;AC;0.0;0.0;0.0;0.0;0.0;14.220976332738882;0.0;0.0;0.0;0.0;13.527829818844937;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
