SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;patrimonio_total
10001595335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2;1;1.0;60000.0
10001595336;0.0;0.0;0.0;0.0;0.0;400000.0;0.0;0.0;0.0;0.0;113900.0;0.0;0.0;0.0;0.0;0.0;0.7783615489394824;0.0;0.0;0.0;0.0;0.2216384510605176;3;2;0.6549703038559758;513900.0
10001595338;0.0;0.0;0.0;0.0;0.0;300000.0;0.0;0.0;0.0;0.0;12000.0;0.0;0.0;0.0;0.0;0.0;0.9615384615384616;0.0;0.0;0.0;0.0;0.038461538461538464;2;2;0.9260355029585798;312000.0
10001595339;0.0;0.0;0.0;0.0;0.0;250000.0;0.0;0.0;0.0;0.0;100000.0;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.2857142857142857;2;2;0.5918367346938775;350000.0
10001595340;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2;1;1.0;32000.0
10001595342;0.0;0.0;0.0;0.0;0.0;200000.0;0.0;0.0;0.0;0.0;25000.0;0.0;0.0;0.0;0.0;0.0;0.8888888888888888;0.0;0.0;0.0;0.0;0.1111111111111111;3;2;0.8024691358024691;225000.0
10001595343;0.0;0.0;0.0;0.0;0.0;140000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2;1;1.0;140000.0
10001595344;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;910000.0;15000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9837837837837838;0.016216216216216217;3;2;0.9680934989043097;925000.0
10001595348;0.0;0.0;0.0;0.0;0.0;150000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;150000.0
10001595349;0.0;0.0;0.0;0.0;0.0;150000.0;0.0;0.0;0.0;0.0;75000.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.3333333333333333;3;2;0.5555555555555556;225000.0
10001595351;0.0;0.0;0.0;0.0;0.0;100000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;100000.0
10001595352;0.0;0.0;0.0;0.0;0.0;150000.0;0.0;0.0;0.0;0.0;155000.0;0.0;0.0;0.0;0.0;0.0;0.4918032786885246;0.0;0.0;0.0;0.0;0.5081967213114754;3;2;0.500134372480516;305000.0
10001595354;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;10000.0
10001595356;0.0;0.0;0.0;0.0;0.0;350000.0;0.0;0.0;0.0;0.0;30000.0;0.0;0.0;0.0;0.0;0.0;0.9210526315789473;0.0;0.0;0.0;0.0;0.07894736842105263;3;2;0.8545706371191135;380000.0
10001595357;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2;1;1.0;60000.0
10001595359;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;8000.0
10001595364;0.0;0.0;0.0;0.0;0.0;80000.0;0.0;0.0;0.0;0.0;40000.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.3333333333333333;2;2;0.5555555555555556;120000.0
10001600522;0.0;0.0;0.0;0.0;0.0;50000.0;0.0;0.0;0.0;0.0;7000.0;0.0;0.0;0.0;0.0;0.0;0.8771929824561403;0.0;0.0;0.0;0.0;0.12280701754385964;2;2;0.7845490920283162;57000.0
