estrato;cluster_final_codigo;cluster_baixo;perfil_automatico;nome_base;nome_base_original;tipo_nome;macro_1;macro_1_pct;macro_2;macro_2_pct;macro_3;macro_3_pct;macro_1_2_pct;nome_base_repetido;nome_base_ainda_repetido;duplicado_no_estrato;ranking_concentracao;n_candidatos;patrimonio_mediano;patrimonio_medio;qtd_macros_media;concentracao_media;cluster_intermediario;cluster_alto;cluster_ultra_alto
Baixo patrimônio;baixo_k8_c5;5.0;Baixo patrimônio - créditos direitos financeiro;créditos direitos financeiro;créditos direitos financeiro;macro_complementar;créditos direitos;0.5435106347113009;financeiro;0.15830976221968196;veicular;0.14072925648449358;0.7018203969309829;False;False;False;;52;509355.5;465352.42307692306;2.1153846153846154;0.7132777843048174;;;
Baixo patrimônio;baixo_k8_c7;7.0;Baixo patrimônio - dinheiro espécie outros ativos;dinheiro espécie outros ativos;dinheiro espécie outros ativos;macro_complementar;dinheiro espécie;0.6602996252292809;outros ativos;0.3057065279305847;atividade profissional;0.02900132896340372;0.9660061531598656;False;False;False;;409;90000.0;171631.31051344745;1.0513447432762837;0.9945098801837354;;;
Baixo patrimônio;baixo_k8_c3;3.0;Baixo patrimônio - financeiro concentrado;financeiro concentrado;financeiro concentrado;concentrado;financeiro;0.9902166602038398;societário;0.0034583597737430074;outros ativos;0.0029003035644046293;0.9936750199775828;False;False;False;;552;99427.5;211839.60326086957;1.0833333333333333;0.9889616664244975;;;
Baixo patrimônio;baixo_k8_c1;1.0;Baixo patrimônio - imobiliário concentrado;imobiliário concentrado;imobiliário concentrado;concentrado;imobiliário;0.969706392815051;veicular;0.018622213059246585;societário;0.004132738328123575;0.9883286058742976;False;False;False;;693;630000.0;617140.7792207792;1.2352092352092352;0.9512280443726705;;;
Baixo patrimônio;baixo_k8_c4;4.0;Baixo patrimônio - rural agropecuário veicular;rural agropecuário veicular;rural agropecuário veicular;macro_complementar;rural agropecuário;0.6990858465833933;veicular;0.18800571120052523;imobiliário;0.05314252341647387;0.8870915577839186;False;False;False;;88;629880.0;618185.2272727273;1.8181818181818181;0.7493149047270724;;;
Baixo patrimônio;baixo_k8_c2;2.0;Baixo patrimônio - societário concentrado;societário concentrado;societário concentrado;concentrado;societário;0.9524096237420695;veicular;0.017301824956636312;dinheiro espécie;0.015142619788184855;0.9697114486987058;False;False;False;;343;200000.0;357709.73760932946;1.1924198250728864;0.947300892826482;;;
Baixo patrimônio;baixo_k8_c0;0.0;Baixo patrimônio - veicular concentrado;veicular concentrado;veicular concentrado;concentrado;veicular;0.9994993482086416;dinheiro espécie;0.00034384756737611597;outros ativos;0.00010534093409637229;0.9998431957760178;False;False;False;;2017;292270.0;344731.9305899851;1.0153693604362914;0.9990617141964396;;;
Baixo patrimônio;baixo_k8_c6;6.0;Baixo patrimônio - veicular financeiro;veicular financeiro;veicular financeiro;macro_complementar;veicular;0.5358271547171465;financeiro;0.178136664545462;imobiliário;0.14226964059476352;0.7139638192626085;False;False;False;;652;550000.0;544054.4171779141;2.2392638036809815;0.6350212733026445;;;
Patrimônio intermediário;intermediario_k10_c3;;Patrimônio intermediário - créditos direitos misto;créditos direitos misto;créditos direitos misto;misto;créditos direitos;0.34476461240851575;imobiliário;0.2885141110024479;financeiro;0.14187990460323988;0.6332787234109636;False;False;False;;282;4542670.5;4900636.046099291;3.421985815602837;0.5536932457607379;3.0;;
Patrimônio intermediário;intermediario_k10_c8;;Patrimônio intermediário - financeiro concentrado;financeiro concentrado;financeiro concentrado;concentrado;financeiro;0.8136502362696993;veicular;0.11791848295118083;dinheiro espécie;0.028295794151356534;0.9315687192208801;False;False;False;;498;2601391.0;3515849.3473895583;1.8514056224899598;0.7875844478553169;8.0;;
Patrimônio intermediário;intermediario_k10_c5;;Patrimônio intermediário - imobiliário concentrado com outros ativos;imobiliário concentrado com outros ativos;imobiliário concentrado;concentrado;imobiliário;0.9579905744916148;outros ativos;0.020311028244876995;dinheiro espécie;0.01734143757774843;0.9783016027364918;True;False;False;;1750;2800000.0;3468453.72;1.1828571428571428;0.9787659200854215;5.0;;
Patrimônio intermediário;intermediario_k10_c0;;Patrimônio intermediário - imobiliário concentrado com veicular;imobiliário concentrado com veicular;imobiliário concentrado;concentrado;imobiliário;0.8043810225113597;veicular;0.18341847754007704;dinheiro espécie;0.007036061747094245;0.9877995000514367;True;False;False;;2239;3350000.0;3898538.7878517197;2.0946851272889684;0.7323678386668956;0.0;;
Patrimônio intermediário;intermediario_k10_c6;;Patrimônio intermediário - imobiliário financeiro;imobiliário financeiro;imobiliário financeiro;macro_complementar;imobiliário;0.6106348365144291;financeiro;0.20358080469275242;veicular;0.1519184468881293;0.8142156412071815;False;False;False;;944;4449166.0;4803598.351694915;3.0;0.5862090754140686;6.0;;
Patrimônio intermediário;intermediario_k10_c7;;Patrimônio intermediário - imobiliário misto;imobiliário misto;imobiliário misto;misto;imobiliário;0.5039269966774729;societário;0.169469496388074;veicular;0.15369989400546094;0.6733964930655468;False;False;False;;652;4576506.5;4945881.398773006;3.4938650306748467;0.5313484397139143;7.0;;
Patrimônio intermediário;intermediario_k10_c2;;Patrimônio intermediário - imobiliário rural agropecuário;imobiliário rural agropecuário;imobiliário rural agropecuário;macro_complementar;imobiliário;0.4177289437078084;rural agropecuário;0.31875870890892727;veicular;0.1228125415826676;0.7364876526167357;False;False;False;;499;5439900.0;5441071.683366734;3.444889779559118;0.4686067764140379;2.0;;
Patrimônio intermediário;intermediario_k10_c9;;Patrimônio intermediário - rural agropecuário concentrado;rural agropecuário concentrado;rural agropecuário concentrado;concentrado;rural agropecuário;0.8454185922180217;veicular;0.07957517934975926;imobiliário;0.028864548088106613;0.924993771567781;False;False;False;;224;3364580.0;4042382.8571428573;1.9017857142857142;0.7860814922339875;9.0;;
