estrato_final;cluster_final_codigo;perfil_patrimonial_final;n_candidatos;patrimonio_mediano;patrimonio_medio;patrimonio_p25;patrimonio_p75;qtd_bens_mediana;qtd_bens_media;qtd_macros_media;concentracao_media
Alto patrimônio;alto_k9_c1;Alto patrimônio - imobiliário concentrado;1832;22205598.5;30529060.1;14146786.75;40113243.0;5.0;6.37;2.59;0.78
Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário;611;26000000.0;34642528.82;15775000.0;47333666.5;8.0;9.92;3.85;0.55
Alto patrimônio;alto_k9_c2;Alto patrimônio - imobiliário financeiro créditos direitos misto;482;32066501.0;37555780.6;17627036.0;51960416.25;9.0;10.73;4.3;0.57
Alto patrimônio;alto_k9_c6;Alto patrimônio - imobiliário financeiro;384;25663259.5;34848070.02;15474107.25;48896109.0;8.0;9.57;4.12;0.62
Alto patrimônio;alto_k9_c5;Alto patrimônio - financeiro societário;347;21391675.0;28558041.88;14514062.5;35315639.0;4.0;6.56;2.33;0.82
Alto patrimônio;alto_k9_c7;Alto patrimônio - imobiliário societário;271;24780117.0;32031865.43;15317140.0;41118164.0;8.0;8.94;3.48;0.51
Alto patrimônio;alto_k9_c4;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais concentrado;192;28244319.5;35912249.77;16596809.5;50955844.5;11.0;12.1;5.07;0.49
Alto patrimônio;alto_k9_c8;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais diversificado;192;36064147.5;42441961.63;21047616.0;61641352.75;14.0;15.92;5.59;0.45
Alto patrimônio;alto_k9_c0;Alto patrimônio - veicular imobiliário;173;16047335.0;20152830.23;11973758.0;22751509.0;5.0;6.56;2.94;0.58
Baixo patrimônio;baixo_k8_c0;Baixo patrimônio - veicular concentrado;2017;292270.0;344731.93;150000.0;500000.0;1.0;1.23;1.02;1.0
Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado;693;630000.0;617140.78;400000.0;830000.0;1.0;1.37;1.24;0.95
Baixo patrimônio;baixo_k8_c6;Baixo patrimônio - veicular financeiro;652;550000.0;544054.42;320448.5;760916.75;3.0;2.99;2.24;0.64
Baixo patrimônio;baixo_k8_c3;Baixo patrimônio - financeiro concentrado;552;99427.5;211839.6;20000.0;329662.5;1.0;1.78;1.08;0.99
Baixo patrimônio;baixo_k8_c7;Baixo patrimônio - dinheiro espécie outros ativos;409;90000.0;171631.31;30000.0;200000.0;1.0;1.12;1.05;0.99
