perfil_cluster;candidatos;eleitos;patrimonio_mediano;patrimonio_medio;estratos_presentes;taxa_eleicao
Patrimônio ultra-alto - financeiro + societário;37;13;26512503.48;52298100.17081082;1;0.35135135135135137
Patrimônio ultra-alto - societário concentrado;57;18;39694955.43;94583526.76473685;1;0.3157894736842105
Patrimônio ultra-alto - rural/agropecuário concentrado;46;14;21000000.0;26469001.36021739;1;0.30434782608695654
Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;474;141;2575782.255;3565676.7642194093;1;0.2974683544303797
Patrimônio ultra-alto - créditos e direitos diversificado;23;6;28645316.87;65292237.44869565;1;0.2608695652173913
Alto patrimônio - imobiliário + financeiro;677;155;1286471.27;1691100.0954209748;1;0.22895125553914328
Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;452;100;2042919.275;2952399.237787611;1;0.22123893805309736
Alto patrimônio - imobiliário + societário com societário e financeiro;1060;215;1530500.0;2263244.58104717;1;0.2028301886792453
Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;392;77;487647.33999999997;504047.4102040817;1;0.19642857142857142
Patrimônio médio-alto - veicular diversificado;398;74;426529.66000000003;460285.54462311557;1;0.18592964824120603
Alto patrimônio - imobiliário + rural/agropecuário;636;106;1479259.27;2126572.981933962;1;0.16666666666666666
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;511;84;1200000.0;1710071.8529354208;1;0.1643835616438356
Patrimônio médio-baixo - veicular + financeiro;360;48;170000.0;178927.4628888889;1;0.13333333333333333
Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;620;79;476389.54500000004;494649.10104838706;1;0.12741935483870967
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;289;34;199896.72;197147.81903114187;1;0.11764705882352941
Patrimônio médio-alto - rural/agropecuário + imobiliário;410;40;500536.52;514070.74702439026;1;0.0975609756097561
Alto patrimônio - imobiliário concentrado com veicular e outros ativos;600;57;1111500.0;1424842.4544666666;1;0.095
Patrimônio médio-alto - imobiliário + veicular com veicular e societário;427;33;496223.99;507629.2087119438;1;0.07728337236533958
Patrimônio ultra-alto - imobiliário + outros ativos;26;2;17889866.380000003;38101126.29615384;1;0.07692307692307693
Patrimônio médio-baixo - societário + veicular;326;21;169121.165;180445.6166564417;1;0.06441717791411043
Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;670;42;457768.575;484557.5167462687;1;0.0626865671641791
Patrimônio médio-baixo - imobiliário + veicular;443;27;208600.0;206534.18943566593;1;0.060948081264108354
Baixo patrimônio - financeiro concentrado;690;42;6548.51;16800.479130434782;1;0.06086956521739131
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;1152;50;449500.0;473960.7711545139;1;0.043402777777777776
Patrimônio médio-baixo - rural/agropecuário + imobiliário;217;9;200000.0;200685.28921658985;1;0.041474654377880185
Patrimônio médio-baixo - veicular concentrado;364;13;146256.0;161321.3247802198;1;0.03571428571428571
Baixo patrimônio - veicular concentrado com financeiro e societário;427;15;49049.18;50664.18341920375;1;0.0351288056206089
Baixo patrimônio - societário concentrado;411;12;22036.09;36036.87644768856;1;0.029197080291970802
Baixo patrimônio - dinheiro em espécie concentrado;364;9;10000.0;22230.65368131868;1;0.024725274725274724
Baixo patrimônio - imobiliário concentrado;718;15;60000.0;60348.94633704735;1;0.020891364902506964
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;1033;19;194500.0;197256.29999031944;1;0.018393030009680542
Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;1154;16;195000.0;195996.37364818025;1;0.01386481802426343
Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;2191;22;30000.0;35954.069475125514;1;0.010041077133728891
Baixo patrimônio - imobiliário + veicular;306;2;74000.0;70245.16519607844;1;0.006535947712418301
Baixo patrimônio - outros ativos diversificado;258;1;7110.0;22986.00593023256;1;0.003875968992248062
