perfil_cluster;candidatos;eleitos;taxa_eleicao;taxa_media_geral;indice_vs_media_geral;patrimonio_mediano;patrimonio_medio;estratos_presentes;classificacao_desempenho
Patrimônio ultra-alto - financeiro + societário;37;13;0.35135135135135137;0.08842417256710028;3.9734762695656554;26512503.48;52298100.17081082;1;muito acima da média
Patrimônio ultra-alto - societário concentrado;57;18;0.3157894736842105;0.08842417256710028;3.5713025580711553;39694955.43;94583526.76473685;1;muito acima da média
Patrimônio ultra-alto - rural/agropecuário concentrado;46;14;0.30434782608695654;0.08842417256710028;3.4419075378511863;21000000.0;26469001.36021739;1;muito acima da média
Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;474;141;0.2974683544303797;0.08842417256710028;3.364106734554369;2575782.255;3565676.7642194093;1;muito acima da média
Alto patrimônio - imobiliário + financeiro;677;155;0.22895125553914328;0.08842417256710028;2.5892383145050597;1286471.27;1691100.0954209748;1;muito acima da média
Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;452;100;0.22123893805309736;0.08842417256710028;2.502018753810913;2042919.275;2952399.237787611;1;muito acima da média
Alto patrimônio - imobiliário + societário com societário e financeiro;1060;215;0.2028301886792453;0.08842417256710028;2.293831910333439;1530500.0;2263244.58104717;1;muito acima da média
Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;392;77;0.19642857142857142;0.08842417256710028;2.2214352221335463;487647.33999999997;504047.4102040817;1;muito acima da média
Patrimônio médio-alto - veicular diversificado;398;74;0.18592964824120603;0.08842417256710028;2.102701589886116;426529.66000000003;460285.54462311557;1;muito acima da média
Alto patrimônio - imobiliário + rural/agropecuário;636;106;0.16666666666666666;0.08842417256710028;1.8848541278708875;1479259.27;2126572.981933962;1;muito acima da média
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;511;84;0.1643835616438356;0.08842417256710028;1.8590342083110123;1200000.0;1710071.8529354208;1;muito acima da média
Patrimônio médio-baixo - veicular + financeiro;360;48;0.13333333333333333;0.08842417256710028;1.5078833022967102;170000.0;178927.4628888889;1;muito acima da média
Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;620;79;0.12741935483870967;0.08842417256710028;1.4410013816303238;476389.54500000004;494649.10104838706;1;acima da média
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;289;34;0.11764705882352941;0.08842417256710028;1.3304852667323912;199896.72;197147.81903114187;1;acima da média
Patrimônio médio-alto - rural/agropecuário + imobiliário;410;40;0.0975609756097561;0.08842417256710028;1.1033292455829586;500536.52;514070.74702439026;1;acima da média
Alto patrimônio - imobiliário concentrado com veicular e outros ativos;600;57;0.095;0.08842417256710028;1.0743668528864059;1111500.0;1424842.4544666666;1;próximo da média
Patrimônio médio-alto - imobiliário + veicular com veicular e societário;427;33;0.07728337236533958;0.08842417256710028;0.8740073005115592;496223.99;507629.2087119438;1;abaixo da média
Patrimônio médio-baixo - societário + veicular;326;21;0.06441717791411043;0.08842417256710028;0.7285019021832265;169121.165;180445.6166564417;1;abaixo da média
Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;670;42;0.0626865671641791;0.08842417256710028;0.7089302092887517;457768.575;484557.5167462687;1;abaixo da média
Patrimônio médio-baixo - imobiliário + veicular;443;27;0.060948081264108354;0.08842417256710028;0.6892694553387897;208600.0;206534.18943566593;1;abaixo da média
Baixo patrimônio - financeiro concentrado;690;42;0.06086956521739131;0.08842417256710028;0.6883815075702373;6548.51;16800.479130434782;1;abaixo da média
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;1152;50;0.043402777777777776;0.08842417256710028;0.49084742913304363;449500.0;473960.7711545139;1;muito abaixo da média
Patrimônio médio-baixo - rural/agropecuário + imobiliário;217;9;0.041474654377880185;0.08842417256710028;0.4690420410369951;200000.0;200685.28921658985;1;muito abaixo da média
Patrimônio médio-baixo - veicular concentrado;364;13;0.03571428571428571;0.08842417256710028;0.40389731311519017;146256.0;161321.3247802198;1;muito abaixo da média
Baixo patrimônio - veicular concentrado com financeiro e societário;427;15;0.0351288056206089;0.08842417256710028;0.3972760456870723;49049.18;50664.18341920375;1;muito abaixo da média
Baixo patrimônio - societário concentrado;411;12;0.029197080291970802;0.08842417256710028;0.33019342386059347;22036.09;36036.87644768856;1;muito abaixo da média
Baixo patrimônio - dinheiro em espécie concentrado;364;9;0.024725274725274724;0.08842417256710028;0.27962121677205476;10000.0;22230.65368131868;1;muito abaixo da média
Baixo patrimônio - imobiliário concentrado;718;15;0.020891364902506964;0.08842417256710028;0.23626305224008343;60000.0;60348.94633704735;1;muito abaixo da média
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;1033;19;0.018393030009680542;0.08842417256710028;0.2080090712267969;194500.0;197256.29999031944;1;muito abaixo da média
Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;1154;16;0.01386481802426343;0.08842417256710028;0.1567989569112697;195000.0;195996.37364818025;1;muito abaixo da média
Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;2191;22;0.010041077133728891;0.08842417256710028;0.11355579410267329;30000.0;35954.069475125514;1;muito abaixo da média
Baixo patrimônio - imobiliário + veicular;306;2;0.006535947712418301;0.08842417256710028;0.07391584815179952;74000.0;70245.16519607844;1;muito abaixo da média
Baixo patrimônio - outros ativos diversificado;258;1;0.003875968992248062;0.08842417256710028;0.04383381692722994;7110.0;22986.00593023256;1;muito abaixo da média
