SG_UF;perfil_cluster;candidatos_cluster_uf;eleitos_cluster_uf;taxa_cluster_uf;candidatos_uf;eleitos_uf;taxa_uf;indice_vs_uf;delta_pp_vs_uf;participacao_candidatos_uf;participacao_eleitos_uf;patrimonio_mediano_cluster_uf
PR;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;44;20;0.45454545454545453;1154;86;0.07452339688041594;6.099365750528541;38.00220576650386;0.038128249566724434;0.23255813953488372;2419047.095
BA;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;26;14;0.5384615384615384;999;102;0.1021021021021021;5.273755656108597;43.63594363594363;0.026026026026026026;0.13725490196078433;3025637.76
MG;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;42;14;0.3333333333333333;1668;133;0.07973621103117506;4.180451127819548;25.359712230215827;0.025179856115107913;0.10526315789473684;2372432.58
BA;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;38;16;0.42105263157894735;999;102;0.1021021021021021;4.123839009287925;31.895052947684523;0.03803803803803804;0.1568627450980392;2075178.01
GO;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;26;8;0.3076923076923077;766;60;0.0783289817232376;3.9282051282051285;22.93633259690701;0.033942558746736295;0.13333333333333333;2486466.0200000005
SC;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;31;9;0.2903225806451613;752;56;0.07446808510638298;3.898617511520738;21.585449553877833;0.041223404255319146;0.16071428571428573;2894850.35
GO;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;29;8;0.27586206896551724;766;60;0.0783289817232376;3.52183908045977;19.753308724227963;0.037859007832898174;0.13333333333333333;3086048.41
CE;Alto patrimônio - imobiliário + societário com societário e financeiro;38;15;0.39473684210526316;611;71;0.11620294599018004;3.3969607116382505;27.853389611508312;0.062193126022913256;0.2112676056338028;1633003.775
RJ;Patrimônio médio-baixo - veicular + financeiro;38;10;0.2631578947368421;1432;116;0.08100558659217877;3.248638838475499;18.21523081446633;0.02653631284916201;0.08620689655172414;164691.555
PR;Alto patrimônio - imobiliário + societário com societário e financeiro;68;16;0.23529411764705882;1154;86;0.07452339688041594;3.1573187414500685;16.07707207666429;0.058925476603119586;0.18604651162790697;1228427.865
