SG_UF;candidatos_uf;eleitos_uf;clusters_presentes;estratos_presentes;patrimonio_mediano_uf;taxa_uf
PI;262;43;34;5;199000.0;0.16412213740458015
AL;239;39;31;5;269000.0;0.16317991631799164
PE;572;72;32;5;229665.5;0.1258741258741259
PB;413;51;32;5;265000.0;0.1234866828087167
CE;611;71;33;5;257000.0;0.11620294599018004
AC;281;32;30;5;230000.0;0.11387900355871886
MA;575;63;34;5;315500.0;0.10956521739130434
AP;267;28;28;5;233000.0;0.10486891385767791
PA;556;58;34;5;300000.0;0.10431654676258993
BA;999;102;33;5;243011.0;0.1021021021021021
SE;322;32;30;5;247500.0;0.09937888198757763
RR;343;34;33;5;240724.52;0.09912536443148688
RN;356;35;32;5;160410.97999999998;0.09831460674157304
MT;380;37;34;5;419606.075;0.09736842105263158
RS;975;90;34;5;266972.85;0.09230769230769231
MS;394;36;33;5;309500.0;0.09137055837563451
TO;411;36;33;5;350000.0;0.08759124087591241
AM;398;34;32;5;214894.47;0.08542713567839195
ES;481;39;32;5;251871.77;0.08108108108108109
RJ;1432;116;35;5;222000.0;0.08100558659217877
MG;1668;133;35;5;303325.12;0.07973621103117506
GO;766;60;33;5;304664.125;0.0783289817232376
PR;1154;86;34;5;244818.18;0.07452339688041594
SC;752;56;34;5;359722.66500000004;0.07446808510638298
RO;454;33;34;5;264816.5;0.07268722466960352
SP;2528;160;35;5;300000.0;0.06329113924050633
DF;606;34;33;5;362500.0;0.056105610561056105
