perfil_cluster;SG_UF;candidatos_cluster_uf;candidatos_cluster_total;candidatos_uf;perc_cluster_na_uf;perc_uf_no_cluster
Alto patrimônio - imobiliário + financeiro;SP;139;674;2528;0.2062314540059347;0.054984177215189875
Alto patrimônio - imobiliário + financeiro;RJ;53;674;1432;0.07863501483679525;0.037011173184357544
Alto patrimônio - imobiliário + financeiro;MG;49;674;1668;0.07270029673590504;0.029376498800959234
Alto patrimônio - imobiliário + financeiro;PR;49;674;1154;0.07270029673590504;0.04246100519930676
Alto patrimônio - imobiliário + financeiro;RS;43;674;975;0.06379821958456973;0.0441025641025641
Alto patrimônio - imobiliário + financeiro;SC;34;674;752;0.050445103857566766;0.04521276595744681
Alto patrimônio - imobiliário + financeiro;DF;31;674;606;0.04599406528189911;0.05115511551155116
Alto patrimônio - imobiliário + financeiro;BA;26;674;999;0.03857566765578635;0.026026026026026026
Alto patrimônio - imobiliário + financeiro;CE;25;674;611;0.037091988130563795;0.04091653027823241
Alto patrimônio - imobiliário + financeiro;MA;24;674;575;0.03560830860534125;0.04173913043478261
Alto patrimônio - imobiliário + financeiro;PA;23;674;556;0.03412462908011869;0.04136690647482014
Alto patrimônio - imobiliário + financeiro;GO;20;674;766;0.02967359050445104;0.02610966057441253
Alto patrimônio - imobiliário + financeiro;PE;18;674;572;0.026706231454005934;0.03146853146853147
Alto patrimônio - imobiliário + financeiro;ES;16;674;481;0.02373887240356083;0.033264033264033266
Alto patrimônio - imobiliário + financeiro;MS;16;674;394;0.02373887240356083;0.04060913705583756
Alto patrimônio - imobiliário + financeiro;PB;15;674;413;0.02225519287833828;0.03631961259079903
Alto patrimônio - imobiliário + financeiro;PI;14;674;262;0.020771513353115726;0.05343511450381679
Alto patrimônio - imobiliário + financeiro;AM;13;674;398;0.019287833827893175;0.032663316582914576
Alto patrimônio - imobiliário + financeiro;MT;12;674;380;0.017804154302670624;0.031578947368421054
Alto patrimônio - imobiliário + financeiro;SE;10;674;322;0.01483679525222552;0.031055900621118012
Alto patrimônio - imobiliário + financeiro;RN;9;674;356;0.013353115727002967;0.025280898876404494
Alto patrimônio - imobiliário + financeiro;RO;7;674;454;0.010385756676557863;0.015418502202643172
Alto patrimônio - imobiliário + financeiro;RR;7;674;343;0.010385756676557863;0.02040816326530612
Alto patrimônio - imobiliário + financeiro;AC;6;674;281;0.008902077151335312;0.021352313167259787
Alto patrimônio - imobiliário + financeiro;TO;6;674;411;0.008902077151335312;0.014598540145985401
Alto patrimônio - imobiliário + financeiro;AL;5;674;239;0.00741839762611276;0.02092050209205021
Alto patrimônio - imobiliário + financeiro;AP;4;674;267;0.005934718100890208;0.0149812734082397
Alto patrimônio - imobiliário + rural/agropecuário;MG;73;634;1668;0.11514195583596215;0.043764988009592325
Alto patrimônio - imobiliário + rural/agropecuário;SP;56;634;2528;0.08832807570977919;0.022151898734177215
Alto patrimônio - imobiliário + rural/agropecuário;GO;47;634;766;0.07413249211356467;0.06135770234986945
Alto patrimônio - imobiliário + rural/agropecuário;BA;42;634;999;0.06624605678233439;0.042042042042042045
Alto patrimônio - imobiliário + rural/agropecuário;TO;37;634;411;0.0583596214511041;0.09002433090024331
Alto patrimônio - imobiliário + rural/agropecuário;PR;35;634;1154;0.055205047318611984;0.030329289428076257
Alto patrimônio - imobiliário + rural/agropecuário;PA;31;634;556;0.04889589905362776;0.05575539568345324
Alto patrimônio - imobiliário + rural/agropecuário;MA;28;634;575;0.04416403785488959;0.04869565217391304
Alto patrimônio - imobiliário + rural/agropecuário;RO;27;634;454;0.04258675078864353;0.05947136563876652
Alto patrimônio - imobiliário + rural/agropecuário;RS;25;634;975;0.03943217665615142;0.02564102564102564
Alto patrimônio - imobiliário + rural/agropecuário;DF;23;634;606;0.03627760252365931;0.037953795379537955
Alto patrimônio - imobiliário + rural/agropecuário;RR;23;634;343;0.03627760252365931;0.06705539358600583
