DS_CARGO;perfil_cluster;candidatos_cluster_cargo;eleitos_cluster_cargo;taxa_cluster_cargo;candidatos_cargo;eleitos_cargo;taxa_cargo;indice_vs_cargo;delta_pp_vs_cargo;participacao_candidatos_cargo;participacao_eleitos_cargo;patrimonio_mediano_cluster_cargo
DEPUTADO FEDERAL;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;197;57;0.2893401015228426;6772;498;0.0735380980507974;3.934560577334719;21.58020034720452;0.02909037212049616;0.1144578313253012;2756874.93
DEPUTADO ESTADUAL;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;198;74;0.37373737373737376;10056;975;0.09695704057279236;3.854669774669775;27.67803331645814;0.019689737470167064;0.0758974358974359;2086149.1400000001
DEPUTADO ESTADUAL;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;221;68;0.3076923076923077;10056;975;0.09695704057279236;3.173491124260355;21.073526711951533;0.0219769291964996;0.06974358974358974;1802344.72
DEPUTADO ESTADUAL;Alto patrimônio - imobiliário + financeiro;332;91;0.2740963855421687;10056;975;0.09695704057279236;2.826987951807229;17.713934496937632;0.0330151153540175;0.09333333333333334;1184814.1099999999
DEPUTADO FEDERAL;Alto patrimônio - imobiliário + financeiro;274;55;0.20072992700729927;6772;498;0.0735380980507974;2.729604549585202;12.719182895650189;0.040460720614294156;0.11044176706827309;1349952.395
DEPUTADO ESTADUAL;Alto patrimônio - imobiliário + societário com societário e financeiro;487;116;0.23819301848049282;10056;975;0.09695704057279236;2.456686147528037;14.123597790770045;0.04842879872712808;0.11897435897435897;1426948.0
DEPUTADO FEDERAL;Patrimônio médio-alto - veicular diversificado;151;27;0.17880794701986755;6772;498;0.0735380980507974;2.431500837788239;10.526984896907015;0.02229769639692853;0.05421686746987952;414884.0
DEPUTADO FEDERAL;Alto patrimônio - imobiliário + societário com societário e financeiro;455;81;0.17802197802197803;6772;498;0.0735380980507974;2.4208129220177415;10.448387997118063;0.06718842291789723;0.16265060240963855;1627500.0
DEPUTADO FEDERAL;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;157;27;0.17197452229299362;6772;498;0.0735380980507974;2.338577238891873;9.843642424219622;0.023183697578263437;0.05421686746987952;509302.56
DEPUTADO ESTADUAL;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;254;56;0.2204724409448819;10056;975;0.09695704057279236;2.273918837068443;12.351540037208952;0.025258552108194113;0.057435897435897436;1200000.0
DEPUTADO ESTADUAL;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;199;43;0.21608040201005024;10056;975;0.09695704057279236;2.2286200231928874;11.912336143725788;0.019789180588703263;0.0441025641025641;481300.0
DEPUTADO ESTADUAL;Alto patrimônio - imobiliário + rural/agropecuário;325;64;0.19692307692307692;10056;975;0.09695704057279236;2.0310343195266274;9.996603635028457;0.03231901352426412;0.06564102564102564;1435638.26
DEPUTADO ESTADUAL;Patrimônio médio-alto - veicular diversificado;214;42;0.19626168224299065;10056;975;0.09695704057279236;2.024212796549245;9.930464167019828;0.021280827366746222;0.043076923076923075;428637.71499999997
DEPUTADO DISTRITAL;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;28;3;0.10714285714285714;394;22;0.05583756345177665;1.9188311688311688;5.130529369108048;0.07106598984771574;0.13636363636363635;1003000.0
DEPUTADO FEDERAL;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;164;23;0.1402439024390244;6772;498;0.0735380980507974;1.9070917817611912;6.6705804388227;0.024217365623154165;0.04618473895582329;2125669.66
SENADOR;Alto patrimônio - imobiliário + societário com societário e financeiro;29;7;0.2413793103448276;213;27;0.1267605633802817;1.9042145593869733;11.461874696454592;0.13615023474178403;0.25925925925925924;1751667.0
DEPUTADO FEDERAL;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;119;16;0.13445378151260504;6772;498;0.0735380980507974;1.8283554385609664;6.091568346180763;0.017572356763142352;0.0321285140562249;192005.0
DEPUTADO FEDERAL;Alto patrimônio - imobiliário + rural/agropecuário;254;34;0.13385826771653545;6772;498;0.0735380980507974;1.8202574075830884;6.032016966573804;0.03750738334317779;0.06827309236947791;1583950.0
DEPUTADO ESTADUAL;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;342;55;0.1608187134502924;10056;975;0.09695704057279236;1.6586594691857848;6.386167287750003;0.03400954653937947;0.05641025641025641;473389.20999999996
DEPUTADO ESTADUAL;Patrimônio médio-baixo - veicular + financeiro;204;32;0.1568627450980392;10056;975;0.09695704057279236;1.6178582202111613;5.990570452524685;0.02028639618138425;0.03282051282051282;172252.575
DEPUTADO FEDERAL;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;217;24;0.11059907834101383;6772;498;0.0735380980507974;1.5039697962356338;3.7060980290216428;0.032043709391612524;0.04819277108433735;1200000.0
DEPUTADO ESTADUAL;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;297;42;0.1414141414141414;10056;975;0.09695704057279236;1.4585236985236985;4.445710084134904;0.029534606205250596;0.043076923076923075;1082694.0
