DS_CARGO;candidatos_cargo;eleitos_cargo;clusters_presentes;estratos_presentes;patrimonio_mediano_cargo;patrimonio_medio_cargo;taxa_cargo
2º SUPLENTE;184;26;33;5;460626.47;11219680.57820652;0.14130434782608695
1º SUPLENTE;194;25;33;5;632559.6000000001;8035638.05128866;0.12886597938144329
SENADOR;213;27;32;5;785349.66;2832259.669342723;0.1267605633802817
VICE-GOVERNADOR;189;19;30;5;495101.79;4179806.623227513;0.10052910052910052
DEPUTADO ESTADUAL;10056;975;35;5;240900.0;856409.5833800716;0.09695704057279236
GOVERNADOR;193;18;33;5;738632.43;10070589.23865285;0.09326424870466321
VICE-PRESIDENTE;11;1;8;3;1005728.42;2867645.027272727;0.09090909090909091
DEPUTADO FEDERAL;6772;498;35;5;305212.05500000005;1130506.558137921;0.0735380980507974
DEPUTADO DISTRITAL;394;22;31;5;310000.0;701375.1898730964;0.05583756345177665
PRESIDENTE;13;0;8;4;2317554.73;11175665.163076924;0.0
