perfil_cluster;DS_CARGO;candidatos_cluster_cargo;candidatos_cluster_total;candidatos_cargo;perc_cargo_no_cluster;perc_cluster_no_cargo
Alto patrimônio - imobiliário + financeiro;DEPUTADO ESTADUAL;332;677;10056;0.49039881831610044;0.0330151153540175
Alto patrimônio - imobiliário + financeiro;DEPUTADO FEDERAL;274;677;6772;0.40472673559822747;0.040460720614294156
Alto patrimônio - imobiliário + financeiro;DEPUTADO DISTRITAL;19;677;394;0.028064992614475627;0.048223350253807105
Alto patrimônio - imobiliário + financeiro;VICE-GOVERNADOR;13;677;189;0.019202363367799114;0.06878306878306878
Alto patrimônio - imobiliário + financeiro;GOVERNADOR;12;677;193;0.01772525849335303;0.06217616580310881
Alto patrimônio - imobiliário + financeiro;SENADOR;10;677;213;0.014771048744460856;0.046948356807511735
Alto patrimônio - imobiliário + financeiro;2º SUPLENTE;8;677;184;0.011816838995568686;0.043478260869565216
Alto patrimônio - imobiliário + financeiro;1º SUPLENTE;6;677;194;0.008862629246676515;0.030927835051546393
Alto patrimônio - imobiliário + financeiro;VICE-PRESIDENTE;2;677;11;0.0029542097488921715;0.18181818181818182
Alto patrimônio - imobiliário + financeiro;PRESIDENTE;1;677;13;0.0014771048744460858;0.07692307692307693
Alto patrimônio - imobiliário + rural/agropecuário;DEPUTADO ESTADUAL;325;636;10056;0.5110062893081762;0.03231901352426412
Alto patrimônio - imobiliário + rural/agropecuário;DEPUTADO FEDERAL;254;636;6772;0.39937106918238996;0.03750738334317779
Alto patrimônio - imobiliário + rural/agropecuário;DEPUTADO DISTRITAL;14;636;394;0.0220125786163522;0.03553299492385787
Alto patrimônio - imobiliário + rural/agropecuário;SENADOR;13;636;213;0.020440251572327043;0.06103286384976526
Alto patrimônio - imobiliário + rural/agropecuário;1º SUPLENTE;10;636;194;0.015723270440251572;0.05154639175257732
Alto patrimônio - imobiliário + rural/agropecuário;GOVERNADOR;9;636;193;0.014150943396226415;0.046632124352331605
Alto patrimônio - imobiliário + rural/agropecuário;2º SUPLENTE;5;636;184;0.007861635220125786;0.02717391304347826
Alto patrimônio - imobiliário + rural/agropecuário;VICE-GOVERNADOR;4;636;189;0.006289308176100629;0.021164021164021163
Alto patrimônio - imobiliário + rural/agropecuário;PRESIDENTE;1;636;13;0.0015723270440251573;0.07692307692307693
Alto patrimônio - imobiliário + rural/agropecuário;VICE-PRESIDENTE;1;636;11;0.0015723270440251573;0.09090909090909091
Alto patrimônio - imobiliário + societário com societário e financeiro;DEPUTADO ESTADUAL;487;1060;10056;0.45943396226415095;0.04842879872712808
Alto patrimônio - imobiliário + societário com societário e financeiro;DEPUTADO FEDERAL;455;1060;6772;0.42924528301886794;0.06718842291789723
Alto patrimônio - imobiliário + societário com societário e financeiro;SENADOR;29;1060;213;0.027358490566037737;0.13615023474178403
Alto patrimônio - imobiliário + societário com societário e financeiro;GOVERNADOR;20;1060;193;0.018867924528301886;0.10362694300518134
Alto patrimônio - imobiliário + societário com societário e financeiro;2º SUPLENTE;17;1060;184;0.016037735849056604;0.09239130434782608
Alto patrimônio - imobiliário + societário com societário e financeiro;DEPUTADO DISTRITAL;17;1060;394;0.016037735849056604;0.04314720812182741
Alto patrimônio - imobiliário + societário com societário e financeiro;VICE-GOVERNADOR;17;1060;189;0.016037735849056604;0.08994708994708994
Alto patrimônio - imobiliário + societário com societário e financeiro;1º SUPLENTE;16;1060;194;0.01509433962264151;0.08247422680412371
Alto patrimônio - imobiliário + societário com societário e financeiro;PRESIDENTE;1;1060;13;0.0009433962264150943;0.07692307692307693
Alto patrimônio - imobiliário + societário com societário e financeiro;VICE-PRESIDENTE;1;1060;11;0.0009433962264150943;0.09090909090909091
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;DEPUTADO ESTADUAL;254;511;10056;0.49706457925636005;0.025258552108194113
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;DEPUTADO FEDERAL;217;511;6772;0.4246575342465753;0.032043709391612524
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;DEPUTADO DISTRITAL;9;511;394;0.01761252446183953;0.02284263959390863
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;SENADOR;9;511;213;0.01761252446183953;0.04225352112676056
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;GOVERNADOR;8;511;193;0.015655577299412915;0.04145077720207254
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;2º SUPLENTE;6;511;184;0.011741682974559686;0.03260869565217391
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;1º SUPLENTE;5;511;194;0.009784735812133072;0.02577319587628866
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;VICE-GOVERNADOR;2;511;189;0.003913894324853229;0.010582010582010581
Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;VICE-PRESIDENTE;1;511;11;0.0019569471624266144;0.09090909090909091
Alto patrimônio - imobiliário concentrado com veicular e outros ativos;DEPUTADO ESTADUAL;297;600;10056;0.495;0.029534606205250596
Alto patrimônio - imobiliário concentrado com veicular e outros ativos;DEPUTADO FEDERAL;250;600;6772;0.4166666666666667;0.03691671588895452
Alto patrimônio - imobiliário concentrado com veicular e outros ativos;DEPUTADO DISTRITAL;28;600;394;0.04666666666666667;0.07106598984771574
Alto patrimônio - imobiliário concentrado com veicular e outros ativos;SENADOR;6;600;213;0.01;0.028169014084507043
Alto patrimônio - imobiliário concentrado com veicular e outros ativos;1º SUPLENTE;5;600;194;0.008333333333333333;0.02577319587628866
