variavel;estrato;perfil_cluster;categoria;eleitos_cluster_categoria;eleitos_cluster;perc_eleitos_cluster
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;BRANCA;110;141;0.7801418439716312
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;PARDA;25;141;0.1773049645390071
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;PRETA;3;141;0.02127659574468085
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;NÃO INFORMADO;2;141;0.014184397163120567
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;AMARELA;1;141;0.0070921985815602835
DS_COR_RACA;01_baixo;Baixo patrimônio - financeiro concentrado;BRANCA;30;42;0.7142857142857143
DS_COR_RACA;01_baixo;Baixo patrimônio - financeiro concentrado;PRETA;6;42;0.14285714285714285
DS_COR_RACA;01_baixo;Baixo patrimônio - financeiro concentrado;PARDA;5;42;0.11904761904761904
DS_COR_RACA;01_baixo;Baixo patrimônio - financeiro concentrado;INDÍGENA;1;42;0.023809523809523808
DS_COR_RACA;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;PARDA;8;15;0.5333333333333333
DS_COR_RACA;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;BRANCA;6;15;0.4
DS_COR_RACA;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;PRETA;1;15;0.06666666666666667
DS_COR_RACA;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;BRANCA;56;77;0.7272727272727273
DS_COR_RACA;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;PARDA;18;77;0.23376623376623376
DS_COR_RACA;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;AMARELA;1;77;0.012987012987012988
DS_COR_RACA;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;INDÍGENA;1;77;0.012987012987012988
DS_COR_RACA;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;PRETA;1;77;0.012987012987012988
DS_COR_RACA;03_medio_alto;Patrimônio médio-alto - veicular diversificado;BRANCA;53;74;0.7162162162162162
